Kabupaten/Kota,Umur Harapan Hidup,Harapan Lama Sekolah,Rata-Rata Lama Sekolah,Pengeluaran Per Kapita,IPM,IPM Class
Kabupaten Pacitan,74.58,12.68,7.88,9681,70.94,Tinggi
Kabupaten Ponorogo,75.07,13.77,7.78,10658,73.18,Tinggi
Kabupaten Trenggalek,75.16,12.62,7.9,10465,71.96,Tinggi
Kabupaten Tulungagung,74.99,13.34,8.66,11565,74.65,Tinggi
Kabupaten Blitar,75.12,12.65,7.83,11499,72.84,Tinggi
Kabupaten Kediri,74.85,13.62,8.24,11952,74.68,Tinggi
Kabupaten Malang,75.14,13.48,7.75,10791,73,Tinggi
Kabupaten Lumajang,74.41,12.16,7.14,9720,69.37,Sedang
Kabupaten Jember,74.02,13.49,6.52,10277,70.42,Tinggi
Kabupaten Banyuwangi,73.93,13.12,7.76,12820,73.79,Tinggi
Kabupaten Bondowoso,73.19,13.32,6.36,11255,70.56,Tinggi
Kabupaten Situbondo,73.22,13.19,6.9,10702,70.65,Tinggi
Kabupaten Probolinggo,73.8,12.63,6.29,11756,70.36,Tinggi
Kabupaten Pasuruan,74.41,12.77,7.44,11239,71.91,Tinggi
Kabupaten Sidoarjo,75.36,14.97,10.78,15311,81.88,Sangat Tinggi
Kabupaten Mojokerto,74.74,12.97,9.11,13467,76.23,Tinggi
Kabupaten Jombang,74.43,13.59,8.77,11999,75.16,Tinggi
Kabupaten Nganjuk,74.43,13.17,8.24,12821,74.7,Tinggi
Kabupaten Madiun,74.59,13.23,7.95,12259,74.02,Tinggi
Kabupaten Magetan,75.19,14.07,8.67,12495,76.3,Tinggi
Kabupaten Ngawi,75.01,12.85,7.78,11897,73.28,Tinggi
Kabupaten Bojonegoro,74.72,12.92,7.45,10776,71.8,Tinggi
Kabupaten Tuban,74.77,12.27,7.4,11174,71.4,Tinggi
Kabupaten Lamongan,74.86,14.02,8.34,12019,75.29,Tinggi
Kabupaten Gresik,74.24,13.97,10.01,13870,78.44,Tinggi
Kabupaten Bangkalan,73.29,11.97,5.99,9438,66.82,Sedang
Kabupaten Sampang,73.49,12.54,5.07,9363,66.19,Sedang
Kabupaten Pamekasan,73.51,13.68,7.15,9420,70.32,Tinggi
Kabupaten Sumenep,73.69,13.58,5.94,9807,69.13,Sedang
Kota Kediri,75.74,15.45,10.69,13276,80.97,Sangat Tinggi
Kota Blitar,74.97,14.57,10.78,14548,80.78,Sangat Tinggi
Kota Malang,75.32,15.77,10.94,17222,84,Sangat Tinggi
Kota Probolinggo,74.1,13.73,9.56,12999,76.93,Tinggi
Kota Pasuruan,74.64,13.66,9.78,14250,78.3,Tinggi
Kota Mojokerto,75.8,14.04,11.05,14422,80.9,Sangat Tinggi
Kota Madiun,75.4,14.44,11.82,17115,83.71,Sangat Tinggi
Kota Surabaya,75.82,14.85,10.7,18977,83.99,Sangat Tinggi
Kota Batu,75.14,14.56,9.85,13603,79.07,Tinggi
Kabupaten Cilacap,74.73,12.67,7.39,11432,72.04,Tinggi
Kabupaten Banyumas,74.2,13.26,7.87,12492,73.96,Tinggi
Kabupaten Purbalingga,73.98,12.02,7.34,10964,70.51,Tinggi
Kabupaten Banjarnegara,74.5,11.82,6.86,10226,69.16,Sedang
Kabupaten Kebumen,74.98,13.37,7.86,9734,71.88,Tinggi
Kabupaten Purworejo,75.37,13.53,8.46,11110,74.35,Tinggi
